Track Name,Race Number,Race URL,Race Time
MOONEE VALLEY (VIC),1,https://swiftbet.com.au//racing/gallops/moonee-valley/race-1-1902985-1083021,Race Completed
MOONEE VALLEY (VIC),2,https://swiftbet.com.au//racing/gallops/moonee-valley/race-2-1902988-1083021,Race Completed
MOONEE VALLEY (VIC),3,https://swiftbet.com.au//racing/gallops/moonee-valley/race-3-1902994-1083021,Race Completed
MOONEE VALLEY (VIC),4,https://swiftbet.com.au//racing/gallops/moonee-valley/race-4-1903001-1083021,Race Completed
MOONEE VALLEY (VIC),5,https://swiftbet.com.au//racing/gallops/moonee-valley/race-5-1903006-1083021,Race Completed
MOONEE VALLEY (VIC),6,https://swiftbet.com.au//racing/gallops/moonee-valley/race-6-1903013-1083021,Race Completed
MOONEE VALLEY (VIC),7,https://swiftbet.com.au//racing/gallops/moonee-valley/race-7-1903019-1083021,Race Completed
MOONEE VALLEY (VIC),8,https://swiftbet.com.au//racing/gallops/moonee-valley/race-8-1903026-1083021,Race Completed
KILMORE (VIC),1,https://swiftbet.com.au//racing/gallops/kilmore/race-1-1902963-1083017,Race Completed
KILMORE (VIC),2,https://swiftbet.com.au//racing/gallops/kilmore/race-2-1902965-1083017,Race Completed
KILMORE (VIC),3,https://swiftbet.com.au//racing/gallops/kilmore/race-3-1902967-1083017,Race Completed
KILMORE (VIC),4,https://swiftbet.com.au//racing/gallops/kilmore/race-4-1902970-1083017,Race Completed
KILMORE (VIC),5,https://swiftbet.com.au//racing/gallops/kilmore/race-5-1902975-1083017,Race Completed
KILMORE (VIC),6,https://swiftbet.com.au//racing/gallops/kilmore/race-6-1902983-1083017,Race Completed
KILMORE (VIC),7,https://swiftbet.com.au//racing/gallops/kilmore/race-7-1902990-1083017,Race Completed
KILMORE (VIC),8,https://swiftbet.com.au//racing/gallops/kilmore/race-8-1902997-1083017,Race Completed
MOREE (NSW),1,https://swiftbet.com.au//racing/gallops/moree/race-1-1902972-1083019,Race Completed
MOREE (NSW),2,https://swiftbet.com.au//racing/gallops/moree/race-2-1902977-1083019,Race Completed
MOREE (NSW),3,https://swiftbet.com.au//racing/gallops/moree/race-3-1902981-1083019,Race Completed
MOREE (NSW),4,https://swiftbet.com.au//racing/gallops/moree/race-4-1902987-1083019,Race Completed
MOREE (NSW),5,https://swiftbet.com.au//racing/gallops/moree/race-5-1902993-1083019,Race Completed
MOREE (NSW),6,https://swiftbet.com.au//racing/gallops/moree/race-6-1902998-1083019,Race Completed
MOREE (NSW),7,https://swiftbet.com.au//racing/gallops/moree/race-7-1903004-1083019,Race Completed
MOREE (NSW),8,https://swiftbet.com.au//racing/gallops/moree/race-8-1903011-1083019,Race Completed
WAGGA (NSW),1,https://swiftbet.com.au//racing/gallops/wagga/race-1-1902991-1083023,Race Completed
WAGGA (NSW),2,https://swiftbet.com.au//racing/gallops/wagga/race-2-1902995-1083023,Race Completed
WAGGA (NSW),3,https://swiftbet.com.au//racing/gallops/wagga/race-3-1902999-1083023,Race Completed
WAGGA (NSW),4,https://swiftbet.com.au//racing/gallops/wagga/race-4-1903003-1083023,Race Completed
WAGGA (NSW),5,https://swiftbet.com.au//racing/gallops/wagga/race-5-1903009-1083023,Race Completed
WAGGA (NSW),6,https://swiftbet.com.au//racing/gallops/wagga/race-6-1903016-1083023,Race Completed
WAGGA (NSW),7,https://swiftbet.com.au//racing/gallops/wagga/race-7-1903018-1083023,Race Completed
WAGGA (NSW),8,https://swiftbet.com.au//racing/gallops/wagga/race-8-1903024-1083023,Race Completed
LAUNCESTON (TAS),1,https://swiftbet.com.au//racing/gallops/launceston/race-1-1901420-1082902,Race Completed
LAUNCESTON (TAS),2,https://swiftbet.com.au//racing/gallops/launceston/race-2-1901441-1082902,Race Completed
LAUNCESTON (TAS),3,https://swiftbet.com.au//racing/gallops/launceston/race-3-1901464-1082902,Race Completed
LAUNCESTON (TAS),4,https://swiftbet.com.au//racing/gallops/launceston/race-4-1901474-1082902,Race Completed
LAUNCESTON (TAS),5,https://swiftbet.com.au//racing/gallops/launceston/race-5-1901477-1082902,Race Completed
LAUNCESTON (TAS),6,https://swiftbet.com.au//racing/gallops/launceston/race-6-1901484-1082902,Race Completed
LAUNCESTON (TAS),7,https://swiftbet.com.au//racing/gallops/launceston/race-7-1901491-1082902,Race Completed
LAUNCESTON (TAS),8,https://swiftbet.com.au//racing/gallops/launceston/race-8-1901499-1082902,Race Completed
IPSWICH (QLD),1,https://swiftbet.com.au//racing/gallops/ipswich/race-1-1903007-1083024,Race Completed
IPSWICH (QLD),2,https://swiftbet.com.au//racing/gallops/ipswich/race-2-1903012-1083024,Race Completed
IPSWICH (QLD),3,https://swiftbet.com.au//racing/gallops/ipswich/race-3-1903015-1083024,Race Completed
IPSWICH (QLD),4,https://swiftbet.com.au//racing/gallops/ipswich/race-4-1903020-1083024,Race Completed
IPSWICH (QLD),5,https://swiftbet.com.au//racing/gallops/ipswich/race-5-1903023-1083024,Race Completed
IPSWICH (QLD),6,https://swiftbet.com.au//racing/gallops/ipswich/race-6-1903027-1083024,Race Completed
IPSWICH (QLD),7,https://swiftbet.com.au//racing/gallops/ipswich/race-7-1903030-1083024,Race Completed
ASCOT PARK (NZL),1,https://swiftbet.com.au//racing/gallops/ascot-park/race-1-1901415-1082897,Race Completed
ASCOT PARK (NZL),2,https://swiftbet.com.au//racing/gallops/ascot-park/race-2-1901426-1082897,Race Completed
ASCOT PARK (NZL),3,https://swiftbet.com.au//racing/gallops/ascot-park/race-3-1901444-1082897,Race Completed
ASCOT PARK (NZL),4,https://swiftbet.com.au//racing/gallops/ascot-park/race-4-1901451-1082897,Race Completed
ASCOT PARK (NZL),5,https://swiftbet.com.au//racing/gallops/ascot-park/race-5-1901462-1082897,Race Completed
ASCOT PARK (NZL),6,https://swiftbet.com.au//racing/gallops/ascot-park/race-6-1901470-1082897,Race Completed
GEELONG (VIC),1,https://swiftbet.com.au//racing/greyhounds/geelong/race-1-1902835-1083009,Race Completed
GEELONG (VIC),2,https://swiftbet.com.au//racing/greyhounds/geelong/race-2-1902839-1083009,Race Completed
GEELONG (VIC),3,https://swiftbet.com.au//racing/greyhounds/geelong/race-3-1902840-1083009,Race Completed
GEELONG (VIC),4,https://swiftbet.com.au//racing/greyhounds/geelong/race-4-1902843-1083009,Race Completed
GEELONG (VIC),5,https://swiftbet.com.au//racing/greyhounds/geelong/race-5-1902846-1083009,Race Completed
GEELONG (VIC),6,https://swiftbet.com.au//racing/greyhounds/geelong/race-6-1902849-1083009,Race Completed
GEELONG (VIC),7,https://swiftbet.com.au//racing/greyhounds/geelong/race-7-1902852-1083009,3/1/7/2
GEELONG (VIC),8,https://swiftbet.com.au//racing/greyhounds/geelong/race-8-1902856-1083009,Race Completed
GEELONG (VIC),9,https://swiftbet.com.au//racing/greyhounds/geelong/race-9-1902860-1083009,Race Completed
GEELONG (VIC),10,https://swiftbet.com.au//racing/greyhounds/geelong/race-10-1902867-1083009,Race Completed
GEELONG (VIC),11,https://swiftbet.com.au//racing/greyhounds/geelong/race-11-1902874-1083009,Race Completed
GEELONG (VIC),12,https://swiftbet.com.au//racing/greyhounds/geelong/race-12-1902880-1083009,11m
SHEPPARTON (VIC),1,https://swiftbet.com.au//racing/greyhounds/shepparton/race-1-1903172-1083043,Race Completed
SHEPPARTON (VIC),2,https://swiftbet.com.au//racing/greyhounds/shepparton/race-2-1903180-1083043,Race Completed
SHEPPARTON (VIC),3,https://swiftbet.com.au//racing/greyhounds/shepparton/race-3-1903188-1083043,Race Completed
