Track Name,Race Number,Race URL,Race Start
FLEMINGTON (VIC),1,https://swiftbet.com.au//racing/gallops/flemington/race-1-1902810-1083004,12h 24m
FLEMINGTON (VIC),2,https://swiftbet.com.au//racing/gallops/flemington/race-2-1902814-1083004,13h 4m
FLEMINGTON (VIC),3,https://swiftbet.com.au//racing/gallops/flemington/race-3-1902824-1083004,13h 44m
FLEMINGTON (VIC),4,https://swiftbet.com.au//racing/gallops/flemington/race-4-1902836-1083004,14h 24m
FLEMINGTON (VIC),5,https://swiftbet.com.au//racing/gallops/flemington/race-5-1902853-1083004,15h 4m
FLEMINGTON (VIC),6,https://swiftbet.com.au//racing/gallops/flemington/race-6-1902872-1083004,15h 44m
FLEMINGTON (VIC),7,https://swiftbet.com.au//racing/gallops/flemington/race-7-1902889-1083004,16h 24m
FLEMINGTON (VIC),8,https://swiftbet.com.au//racing/gallops/flemington/race-8-1902908-1083004,17h 4m
FLEMINGTON (VIC),9,https://swiftbet.com.au//racing/gallops/flemington/race-9-1902921-1083004,17h 44m
ROSEHILL (NSW),1,https://swiftbet.com.au//racing/gallops/rosehill/race-1-1902807-1083003,12h 14m
ROSEHILL (NSW),2,https://swiftbet.com.au//racing/gallops/rosehill/race-2-1902815-1083003,12h 49m
ROSEHILL (NSW),3,https://swiftbet.com.au//racing/gallops/rosehill/race-3-1902820-1083003,13h 24m
ROSEHILL (NSW),4,https://swiftbet.com.au//racing/gallops/rosehill/race-4-1902829-1083003,14h 4m
ROSEHILL (NSW),5,https://swiftbet.com.au//racing/gallops/rosehill/race-5-1902844-1083003,14h 44m
ROSEHILL (NSW),6,https://swiftbet.com.au//racing/gallops/rosehill/race-6-1902875-1083003,15h 24m
ROSEHILL (NSW),7,https://swiftbet.com.au//racing/gallops/rosehill/race-7-1902892-1083003,16h 4m
ROSEHILL (NSW),8,https://swiftbet.com.au//racing/gallops/rosehill/race-8-1902906-1083003,16h 49m
ROSEHILL (NSW),9,https://swiftbet.com.au//racing/gallops/rosehill/race-9-1902924-1083003,17h 24m
ROSEHILL (NSW),10,https://swiftbet.com.au//racing/gallops/rosehill/race-10-1902932-1083003,17h 59m
EAGLE FARM (QLD),1,https://swiftbet.com.au//racing/gallops/eagle-farm/race-1-1903068-1083030,13h 36m
EAGLE FARM (QLD),2,https://swiftbet.com.au//racing/gallops/eagle-farm/race-2-1903072-1083030,14h 16m
EAGLE FARM (QLD),3,https://swiftbet.com.au//racing/gallops/eagle-farm/race-3-1903076-1083030,14h 56m
EAGLE FARM (QLD),4,https://swiftbet.com.au//racing/gallops/eagle-farm/race-4-1903082-1083030,15h 36m
EAGLE FARM (QLD),5,https://swiftbet.com.au//racing/gallops/eagle-farm/race-5-1903086-1083030,16h 16m
EAGLE FARM (QLD),6,https://swiftbet.com.au//racing/gallops/eagle-farm/race-6-1903088-1083030,16h 56m
EAGLE FARM (QLD),7,https://swiftbet.com.au//racing/gallops/eagle-farm/race-7-1903090-1083030,17h 36m
EAGLE FARM (QLD),8,https://swiftbet.com.au//racing/gallops/eagle-farm/race-8-1903091-1083030,18h 14m
EAGLE FARM (QLD),9,https://swiftbet.com.au//racing/gallops/eagle-farm/race-9-1903092-1083030,18h 44m
MORPHETTVILLE (SA),1,https://swiftbet.com.au//racing/gallops/morphettville/race-1-1902821-1083005,12h 37m
MORPHETTVILLE (SA),2,https://swiftbet.com.au//racing/gallops/morphettville/race-2-1902828-1083005,13h 16m
MORPHETTVILLE (SA),3,https://swiftbet.com.au//racing/gallops/morphettville/race-3-1902841-1083005,13h 54m
MORPHETTVILLE (SA),4,https://swiftbet.com.au//racing/gallops/morphettville/race-4-1902857-1083005,14h 36m
MORPHETTVILLE (SA),5,https://swiftbet.com.au//racing/gallops/morphettville/race-5-1902865-1083005,15h 16m
MORPHETTVILLE (SA),6,https://swiftbet.com.au//racing/gallops/morphettville/race-6-1902881-1083005,15h 56m
MORPHETTVILLE (SA),7,https://swiftbet.com.au//racing/gallops/morphettville/race-7-1902896-1083005,16h 37m
MORPHETTVILLE (SA),8,https://swiftbet.com.au//racing/gallops/morphettville/race-8-1902910-1083005,17h 16m
MORPHETTVILLE (SA),9,https://swiftbet.com.au//racing/gallops/morphettville/race-9-1902918-1083005,18h 4m
ASCOT (WA),1,https://swiftbet.com.au//racing/gallops/ascot/race-1-1903117-1083033,15h 28m
ASCOT (WA),2,https://swiftbet.com.au//racing/gallops/ascot/race-2-1903121-1083033,16h 8m
ASCOT (WA),3,https://swiftbet.com.au//racing/gallops/ascot/race-3-1903123-1083033,16h 52m
ASCOT (WA),4,https://swiftbet.com.au//racing/gallops/ascot/race-4-1903126-1083033,17h 28m
ASCOT (WA),5,https://swiftbet.com.au//racing/gallops/ascot/race-5-1903129-1083033,18h 8m
